ID	音频	转写结果	标注文本	CER(%)
88	pos/cmd_88.wav	会议模式，	会议模式	0.00
89	pos/cmd_89.wav	窗帘的叶片帮我调整到一百八十度。	窗帘的叶片帮我调整到一百八十度	0.00
90	pos/cmd_90.wav	我有点热。	我有点热	0.00
91	pos/cmd_91.wav	开启窗帘。	开启窗帘	0.00
92	pos/cmd_92.wav	我有点冷。	我有点冷	0.00
93	pos/cmd_93.wav	约下午四点， 洗衣服。	约下午四点洗衣服	0.00
94	pos/cmd_94.wav	进入我要吃饭了， 场景设置。	进入我要吃饭了场景设置	0.00
95	pos/cmd_95.wav	开启一键静呼吸。	开启一键净呼吸	14.29
96	pos/cmd_96.wav	打开洗衣机柠门。	打开洗衣机	40.00
97	pos/cmd_97.wav	把前厅灯光调到亮度百分之百。	把前厅灯光调到亮度百分之百	0.00
98	pos/cmd_98.wav	权志龙。	全智能	100.00
99	pos/cmd_99.wav	打开干阴进门。	打开干衣机门	33.33
100	pos/cmd_100.wav	把干洗烘套装满。	拉杆洗烘套装	50.00
101	pos/cmd_101.wav	闭所有灯光。	闭所有灯光	0.00
102	pos/cmd_102.wav	关闭图灵厨房的灯。	关闭图灵厨房的灯	0.00
103	pos/cmd_103.wav	灯光常亮等色调。	灯光常亮冷色调	14.29
104	pos/cmd_104.wav	那窗帘要关吗？ 谢谢。	那窗帘要关吗这些	25.00
105	pos/cmd_105.wav	数字专家、 数字专家等等。	墅智专家墅智专家的灯	60.00
106	pos/cmd_106.wav	关闭洗衣机。	关闭洗衣机	0.00
107	pos/cmd_107.wav	室内有点暗。	室内有点暗	0.00
108	pos/cmd_108.wav	不管他为什么， 他摸不到了， 因为我叫默默， 就是唤醒他。	因为我叫colmo就是唤醒它	121.43
109	pos/cmd_109.wav	干一那个，	干衣机开门	80.00
110	pos/cmd_110.wav	正常是用我用人说话嘛， 他这个就很灵敏了， 就一直回答到你。 但是那个他就是会延迟，	正常才有我一个人说话嘛它这个就很灵敏了就一直回答到你但是那个它就是会延迟	16.67
111	pos/cmd_111.wav	关闭新疆空调。	关闭星香空调	33.33
112	pos/cmd_112.wav	我要看电影喽。	我要看电影咯	16.67
113	pos/cmd_113.wav	我要吃做饭了。	我要吃做饭了	0.00
114	pos/cmd_114.wav	调成冷色调常亮。	调成冷色调常亮	0.00
115	pos/cmd_115.wav	打开烟机， 打开吸油烟。	打开烟机打开洗游衣	33.33
116	pos/cmd_116.wav	帮我播放周笔畅的 time。	帮我播放周笔畅的贪	44.44
117	pos/cmd_117.wav	帮我打开冰箱门， 还有抽油烟机， 还有洗衣机桶， 还有新风。	帮我打开冰箱门还有抽油烟机还有洗衣机筒还有新风	4.35
118	pos/cmd_118.wav	烟机自动开启， 灯光精准聚焦在备三区。	烟机自动开启灯光精准的聚焦在非餐区	17.65
119	pos/cmd_119.wav	打开客厅， 智能灯。	打开客厅智能灯	0.00
120	pos/cmd_120.wav	干衣机怎么使用？	干衣机怎么使用	0.00
121	pos/cmd_121.wav	空调调为二十六度。	空调调为二十六度	0.00
122	pos/cmd_122.wav	我们打开我们的座椅按摩等等就可以实现。	什么打开我们的座椅安装等等就可以实现	22.22
123	pos/cmd_123.wav	打开顶灯，	打开顶灯	0.00
124	pos/cmd_124.wav	空调调为最低风速。	空调调为最低风速	0.00
125	pos/cmd_125.wav	预一的下午是，	预约下午十四	66.67
126	pos/cmd_126.wav	客厅灯光亮度调到百分之十。	客厅灯光亮度调到百分之十	0.00
127	pos/cmd_127.wav	我准备进厨房了。	我准备进厨房了	0.00
128	pos/cmd_128.wav	关闭窗帘， 客厅的灯调为暖色空调二十四度最低风速。	关闭窗帘客厅的灯调为暖色空调二十四度最低风速	0.00
129	pos/cmd_129.wav	空调是什么模式？ 现在。	空调是什么模式现在	0.00
130	pos/cmd_130.wav	洗衣模式。	洗衣模式	0.00
131	pos/cmd_131.wav	打开洗漱一体机的门。	打开洗护一体机的门	11.11
132	pos/cmd_132.wav	灯光调亮冷色调，	灯光调亮冷色调	0.00
133	pos/cmd_133.wav	窗帘调整角度到七十度。	窗帘调整角度到七十度	0.00
134	pos/cmd_134.wav	我要做饭了吃要补吗？	我要做饭了小布吗	37.50
135	pos/cmd_135.wav	灯的色温调到最暖。	灯的色温调到最暖	0.00
136	pos/cmd_136.wav	开启烹饪模式。	开启烹饪模式	0.00
137	pos/cmd_137.wav	打开空调， 打开窗帘关闭灯。	打开空调打开窗帘关闭灯	0.00
138	pos/cmd_138.wav	关闭电视。	关闭电视	0.00
139	pos/cmd_139.wav	帮我策划四天去韩国首都的旅游。	帮我策划四天去韩国首尔的旅游	7.14
140	pos/cmd_140.wav	打开冰箱。	打开冰箱	0.00
141	pos/cmd_141.wav	关闭新建空调。	关闭新建空调	0.00
142	pos/cmd_142.wav	稍雷下架。	窗帘下架	50.00
143	pos/cmd_143.wav	关闭洗衣模式。 关闭新风模式。	关闭洗衣模式关闭新风模式	0.00
144	pos/cmd_144.wav	退下吧。	退下吧	0.00
145	pos/cmd_145.wav	灯光亮度调百分之八十。	灯光亮度调百分之八十	0.00
146	pos/cmd_146.wav	那没有什么，	打开观影模式	100.00
147	pos/cmd_147.wav	灯光调百分之八十。	灯光调到百分之八十	11.11
148	pos/cmd_148.wav	关闭抽油烟机，	关闭抽油烟机	0.00
149	pos/cmd_149.wav	灯的亮度调到五千。	灯的亮度调到五千	0.00
150	pos/cmd_150.wav	打开灯，	打开灯	0.00
151	pos/cmd_151.wav	我要清干洗。	我要轻干洗	20.00
152	pos/cmd_152.wav	侦查到五千天。	客厅的灯调到五千K	66.67
153	pos/cmd_153.wav	帮我放一首。	帮我放一首	0.00
154	pos/cmd_154.wav	智慧屏怎么先关机？	智慧屏怎么先关机	0.00
155	pos/cmd_155.wav	我要出去了。	我要出去了	0.00
156	pos/cmd_156.wav	我吃完了。	我吃完了	0.00
157	pos/cmd_157.wav	打开油烟机。 打开洗衣机桶， 打开清风，	打开油烟机打开洗衣机桶打开新风	6.67
158	pos/cmd_158.wav	打开所有灯，	打开所有灯	0.00
159	pos/cmd_159.wav	帮我预约明天九点前衬衫的 AI 轻干洗。	帮我预约明天九点前衬衫的AI净干洗	5.88
160	pos/cmd_160.wav	我要看电影了。	我要看电影了	0.00
161	pos/cmd_161.wav	窗帘叶片角度调整到六十度。	窗帘叶片角度调整到六十度	0.00
162	pos/cmd_162.wav	打开所有空调。	打开所有空调	0.00
163	pos/cmd_163.wav	呃， 把所有灯光打开。	呃把所有灯光打开	0.00
164	pos/cmd_164.wav	帮我策划三天深圳旅游的行程。	帮我策划三天深圳旅游的行程	0.00
165	pos/cmd_165.wav	我准备做饭了。	我准备做饭啦	16.67
166	pos/cmd_166.wav	打开洗烘套装。	打开洗烘套装	0.00
167	pos/cmd_167.wav	打开客厅窗帘。	打开客厅窗帘	0.00
168	pos/cmd_168.wav	灯的色温调到五千 k，	灯的色温调到五千K	0.00
169	pos/cmd_169.wav	打开显示屏。	打开显示屏	0.00
170	pos/cmd_170.wav	一键静呼吸。	一键净呼吸	20.00
171	pos/cmd_171.wav	人民法法最新的专辑叫什么？	Lady Gaga最新的专辑叫什么	50.00
172	pos/cmd_172.wav	开启连续对话。	开启连续对话	0.00
173	pos/cmd_173.wav	打开图灵洗碗机的门。	打开图灵洗碗机的门	0.00
174	pos/cmd_174.wav	灯光调到最亮。	灯光调到最亮	0.00
175	pos/cmd_175.wav	浪漫就餐。	浪漫就餐	0.00
176	pos/cmd_176.wav	所有灯的室温调到五千 k，	所有灯的色温调到五千K	9.09
177	pos/cmd_177.wav	打开所有智能灯。	打开所有智能灯	0.00
178	pos/cmd_178.wav	帮我预约明天九点之前。	帮我预约明天九点之前	0.00
179	pos/cmd_179.wav	你说一句， 烹饪模式已打开。	你说一句烹饪模式已打开	0.00
180	pos/cmd_180.wav	关闭空调， 打开窗帘。	关闭空调打开窗帘	0.00
181	pos/cmd_181.wav	把窗帘打开。	把窗帘打开	0.00
182	pos/cmd_182.wav	预约下午四点， 洗衣服。	预约下午四点洗衣服	0.00
183	pos/cmd_183.wav	星降的灯调到五千 k 亮度百分百。	星降的灯调到五千K亮度百分百	0.00
184	pos/cmd_184.wav	关空调关灯。	关空调关灯	0.00
185	pos/cmd_185.wav	我吃饱了，	我吃饱了	0.00
186	pos/cmd_186.wav	恢复正常场景。	恢复正常场景	0.00
187	pos/cmd_187.wav	这个是什么颜色的？	这个是什么颜色的	0.00
188	pos/cmd_188.wav	灯的亮度百分百。	灯的亮度百分百	0.00
189	pos/cmd_189.wav	灯光无烟机。	厨房灯光烟机	50.00
190	pos/cmd_190.wav	我要吃饭喽。	我要吃饭咯	20.00
191	pos/cmd_191.wav	室内太暗了。	室内太暗了	0.00
192	pos/cmd_192.wav	打开上班模式。	打开上班模式	0.00
193	pos/cmd_193.wav	帮我放一首周笔唱的歌。	帮我放一首周笔畅的歌	10.00
194	pos/cmd_194.wav	开启一键净化。	开启一键净化	0.00
195	pos/cmd_195.wav	我要洗碗。	我要洗碗	0.00
196	pos/cmd_196.wav	打开厨房空调。	打开厨房空调	0.00
197	pos/cmd_197.wav	明亮模式。	明亮模式	0.00
198	pos/cmd_198.wav	你这个智慧屏怎么关机？	你这个智慧屏怎么关机	0.00
199	pos/cmd_199.wav	开冰箱门。	开冰箱门	0.00
200	pos/cmd_200.wav	空调全部开启， 扫风。	空调全部开启扫风	0.00
201	pos/cmd_201.wav	数字专家射灯亮度调到二，	数字专家射灯亮度调到二	0.00
202	pos/cmd_202.wav	我马上到家了。	我马上到家了	0.00
203	pos/cmd_203.wav	关闭音乐客厅的灯。	关闭音乐客厅的灯	0.00
204	pos/cmd_204.wav	声音小一点。	声音小一点	0.00
205	pos/cmd_205.wav	关窗帘。	关窗帘	0.00
206	pos/cmd_206.wav	预约下午洗四点洗衣服。	预约下午洗四点洗衣服	0.00
207	pos/cmd_207.wav	深圳有什么好吃的？	深圳有什么好吃的	0.00
208	pos/cmd_208.wav	灯的亮度调整到五千 k，	灯的亮度调整到五千K	0.00
209	pos/cmd_209.wav	灯光最亮冷色调，	灯光最亮冷色调	0.00
210	pos/cmd_210.wav	最好是什么呢？ 我从这里跳线进来， 我就先不要这个， 我先灯光亮起嗯。	正好是什么我从这里跳向进来我就先不要这个我先灯光亮起	15.38
211	pos/cmd_211.wav	开启洗碗机。	开启洗碗机	0.00
212	pos/cmd_212.wav	关闭微蒸烤箱。	关闭微蒸烤箱	0.00
213	pos/cmd_213.wav	灯光调为蓝色。	灯光调为蓝色	0.00
214	pos/cmd_214.wav	哦， 这个就是全屋证人， 像我们要开空调啊， 或者是我们要做饭的， 这些都是嗯这里没有听到我们说话的。	呃这个就是全屋智能像我们要开空调啊或者是我们要做饭啊这些都是嗯这里了听到我们说话	17.50
215	pos/cmd_215.wav	关闭厨房灯光。	关闭厨房灯光	0.00
216	pos/cmd_216.wav	打开饮水机。	打开饮水机	0.00
217	pos/cmd_217.wav	所有灯亮度调到最高。	所有灯亮度调到最高	0.00
218	pos/cmd_218.wav	放一首歌，	放一首歌	0.00
219	pos/cmd_219.wav	点击申请。	烟机升起	100.00
220	pos/cmd_220.wav	打开智能灯。	打开智能灯	0.00
221	pos/cmd_221.wav	洗衣机双筒打开中风。	洗衣机双桶打开通风	22.22
222	pos/cmd_222.wav	打开客厅空调， 客厅的灯调到，	打开客厅空调客厅的灯调到	0.00
223	pos/cmd_223.wav	关闭所有灯。	关闭所有灯	0.00
224	pos/cmd_224.wav	我的羊绒大衣要用什么清洗模式？	我的羊绒大衣要用什么清洗模式	0.00
225	pos/cmd_225.wav	开灯客厅灯的色温调到一千八百 k，	开灯客厅灯的色温调到一千八百K	0.00
226	pos/cmd_226.wav	是的， 然后在窗面帮帮帮帮， 慢慢给关了。 对， 然后那个灯光暗了就是，	然后那个窗帘邦邦邦邦邦的给关了对然后那个灯光暗了就是	42.31
227	pos/cmd_227.wav	窗帘半开。	窗帘半开	0.00
228	pos/cmd_228.wav	就我烹饪选择打开烹饪模式。	做我烹饪先吃啊打开烹饪模式	30.77
229	pos/cmd_229.wav	音乐声音调小一点。	音乐声音调小一点	0.00
230	pos/cmd_230.wav	给我定一个闹钟， 内容是设计一个艺术空间。	给我定个闹钟内容是设计一个艺术空间	5.88
231	pos/cmd_231.wav	帮我打开客厅的智能灯。	帮我打开客厅的智能灯	0.00
232	pos/cmd_232.wav	我吃完饭了。	我吃完饭了	0.00
233	pos/cmd_233.wav	我要开始做饭了。	我要开始做饭了	0.00
234	pos/cmd_234.wav	把空调温度调到二十八度， 风量调到百分之五十。	把空调温度调到二十八度风量调到百分之五十	0.00
235	pos/cmd_235.wav	客厅灯的色温调到五千 k 灯的色温调到五千 k，	客厅灯的色温调到五千K灯的色温调到五千K	0.00
236	pos/cmd_236.wav	烟机降下。	烟机降下	0.00
237	pos/cmd_237.wav	打开清香烟机。	打开清香烟机	0.00
238	pos/cmd_238.wav	空调打开到二十五摄氏度。	空调打开到二十五摄氏度	0.00
239	pos/cmd_239.wav	进呼吸模式。	净呼吸模式	20.00
240	pos/cmd_240.wav	没事退下。	没事退下	0.00
241	pos/cmd_241.wav	登的四万五千 k，	灯的色温五千K	42.86
242	pos/cmd_242.wav	遮上窗帘。	遮上窗帘	0.00
243	pos/cmd_243.wav	烹饪模式。	烹饪模式	0.00
244	pos/cmd_244.wav	没事退下吧。	没事退下吧	0.00
245	pos/cmd_245.wav	来了， 帮我打开洗碗机。	帮我打开洗碗机	28.57
246	pos/cmd_246.wav	现在关闭油烟机。	现在关闭油烟机	0.00
247	pos/cmd_247.wav	蹲着室温。	灯的色温	75.00
248	pos/cmd_248.wav	打开洗碗机门。	打开洗碗机门	0.00
249	pos/cmd_249.wav	开启前厅所有灯光。	开启前厅所有灯光	0.00
250	pos/cmd_250.wav	帮我打开冰箱门， 打开，	帮我打开冰箱门打开	0.00
251	pos/cmd_251.wav	拉开所有卷帘。	拉开所有卷帘	0.00
252	pos/cmd_252.wav	打开洗衣模式。	打开洗衣模式	0.00
253	pos/cmd_253.wav	空调调到二十六度。	空调调到二十六度	0.00
254	pos/cmd_254.wav	什么是 AI 轻干系？	什么是AI轻干洗	12.50
255	pos/cmd_255.wav	对， 都没问题的。	对都没问题的	0.00
256	pos/cmd_256.wav	打开客厅的灯，	打开客厅的灯	0.00
257	pos/cmd_257.wav	打开所有的灯光。	打开所有的灯光	0.00
258	pos/cmd_258.wav	灯光色调最冷，	灯光色调最冷	0.00
259	pos/cmd_259.wav	微蒸烤箱取消预热。	微蒸烤箱取消预热	0.00
260	pos/cmd_260.wav	把展台的灯光亮度调到百分之十。	把展台的灯光亮度调到百分之十	0.00
261	pos/cmd_261.wav	吃饭了。	吃饭了	0.00
262	pos/cmd_262.wav	关闭客厅柜式空调。	关闭客厅柜式空调	0.00
263	pos/cmd_263.wav		还有一开机会打	100.00
264	pos/cmd_264.wav	所有灯的亮度降到五十。	所有灯的亮度降到五十	0.00
265	pos/cmd_265.wav	关闭所有窗帘。	关闭所有窗帘	0.00
266	pos/cmd_266.wav	关闭备餐模式。	关闭备餐模式	0.00
267	pos/cmd_267.wav	关闭空调客厅灯的设温， 调到最冷， 打开厨房的灯，	关闭空调客厅灯的色温调到最冷打开厨房的灯	5.00
268	pos/cmd_268.wav	油烟机升起。	油烟机升起	0.00
269	pos/cmd_269.wav	打打开油烟机。	打打开油烟机	0.00
270	pos/cmd_270.wav	帮我放郭顶的水星记。	帮我放郭顶的水星记	0.00
271	pos/cmd_271.wav	还一个吗？	HI COLMO	100.00
272	pos/cmd_272.wav	开灯开空调关。	开灯开空调	20.00
273	pos/cmd_273.wav	帮我预约明天九点之前， 衬衫的 AI 清干洗。	帮我预约明天九点之前衬衫的AI轻干洗	5.56
274	pos/cmd_274.wav	灯的色温调冷一点。	灯的色温调冷一点	0.00
275	pos/cmd_275.wav	关闭空调。 关闭灯，	关闭空调关闭灯	0.00
276	pos/cmd_276.wav	关闭回家模式。	关闭回家模式	0.00
277	pos/cmd_277.wav	羊毛衫怎么洗？	羊毛衫怎么洗	0.00
278	pos/cmd_278.wav	把空调开机调到制热模式。	把空调开机调到制热模式	0.00
279	pos/cmd_279.wav	调亮一点。	调亮一点	0.00
280	pos/cmd_280.wav	拉开窗帘。	拉开窗帘	0.00
281	pos/cmd_281.wav	帮我关闭音乐。	帮我关闭音乐	0.00
282	pos/cmd_282.wav	灯光调到百分之三十。	灯光调到百分之三十	0.00
283	pos/cmd_283.wav	空调开到二十摄氏度。	空调开到二十摄氏度	0.00
284	pos/cmd_284.wav	关闭冰箱门。	关闭冰箱门	0.00
285	pos/cmd_285.wav	我要开始烹饪。	我要开始烹饪	0.00
286	pos/cmd_286.wav	下午四点五十。	预约下午四点	66.67
287	pos/cmd_287.wav	关闭全屋空调。	关闭全屋空调	0.00
288	pos/cmd_288.wav	放了一年的羊绒大衣应该用什么清洗模式？	放了一年的羊绒大衣应该用什么清洗模式	0.00
289	pos/cmd_289.wav	打开新风模式。	打开新风模式	0.00
290	pos/cmd_290.wav	关闭前厅所有灯光。	关闭前厅所有灯光	0.00
291	pos/cmd_291.wav	关闭所有中央空调。	关闭所有中央空调	0.00
292	pos/cmd_292.wav	帮我做一个倒计时。	帮我做一个倒计时	0.00
293	pos/cmd_293.wav	关掉空调。	关掉空调	0.00
294	pos/cmd_294.wav	好的哥。	好的歌	33.33
295	pos/cmd_295.wav	灯光明亮冷色调，	灯光明亮冷色调	0.00
296	pos/cmd_296.wav	洗衣机通风不行。	洗衣机通风	40.00
297	pos/cmd_297.wav	开启两个空调。	开启两个空调	0.00
298	pos/cmd_298.wav	我要洗衣服喽。	我要洗衣服咯	16.67
299	pos/cmd_299.wav	爆炒模式。	爆炒模式	0.00
300	pos/cmd_300.wav	打开洗碗机的门。	打开洗碗机的门	0.00
301	pos/cmd_301.wav	那我预约明天九点之前对我的身子三进行清干洗。	帮我预约明天九点之前对我的衬衫进行轻干洗	25.00
302	pos/cmd_302.wav	没有同有，	你好COLMO	100.00
303	pos/cmd_303.wav	我要休息喽。	我要休息咯	20.00
304	pos/cmd_304.wav	落绿灯的色温调到最的。	客厅灯的色温调到最冷	30.00
305	pos/cmd_305.wav	我要洗衣服。	呃我要洗衣服	16.67
306	pos/cmd_306.wav	所有灯电量降到五十。	所有灯电量降到五十	0.00
307	pos/cmd_307.wav	帮我打开衬衫的 ai 清感系。	帮我打开衬衫的AI轻干洗	25.00
308	pos/cmd_308.wav	关闭冰箱。	关闭音箱	25.00
309	pos/cmd_309.wav	打开回家模式。	打开回家模式	0.00
310	pos/cmd_310.wav	打开连续对话。	打开连续对话	0.00
311	pos/cmd_311.wav	取消吃饭模式。	取消吃饭模式	0.00
312	pos/cmd_312.wav	灯光亮度调百分之一百。	灯光亮度调百分之一百	0.00
313	pos/cmd_313.wav	换一首歌。	换一首歌	0.00
314	pos/cmd_314.wav	帮我预约十五点洗衣服。	帮我预约十五点洗衣服	0.00
315	pos/cmd_315.wav	灯的色温调亮。	灯的色温调亮	0.00
316	pos/cmd_316.wav	打开悬浮空调。	打开全部空调	33.33
317	pos/cmd_317.wav	打开空调。 打开灯，	打开空调打开灯	0.00
318	pos/cmd_318.wav	空调二十六度， 风度风速最小。	空调二十六度风速风速最小	8.33
319	pos/cmd_319.wav	你都有什么场景啊？	你都有什么场景啊	0.00
320	pos/cmd_320.wav	室内有点暗， 灯光调到最亮， 然后把窗帘打开。	室内有点暗灯光调到最亮然后把窗帘打开	0.00
321	pos/cmd_321.wav	指令刚才错了。	指令刚才错了	0.00
322	pos/cmd_322.wav	十四点五十五，	十四点五十五	0.00
323	pos/cmd_323.wav	我要吃饭了， 我要做饭了。	我要吃饭了我要做饭了	0.00
324	pos/cmd_324.wav	我这样子吧， 我就觉得，	就这样子把风速减小	66.67
325	pos/cmd_325.wav	所有灯光亮度调到百分之一百。	所有灯光亮度调到百分之一百	0.00
326	pos/cmd_326.wav	那迎先取消操作。	干衣机取消操作	42.86
327	pos/cmd_327.wav	我要拿碗。	我要拿碗	0.00
328	pos/cmd_328.wav	从医院穿回来的衣服怎么洗才够干净？	从医院穿回来的衣服怎么洗才够干净	0.00
329	pos/cmd_329.wav	打开氛围灯，	打开氛围灯	0.00
330	pos/cmd_330.wav	打开冰箱门。	打开冰箱门	0.00
