ID	识别结果	参考文本
IC0936W0163	过 去 傻 子 都 赚 钱 的 时 代 也 一 去 不 复 返 了	过去傻子都赚钱的时代也一去不复返了
IC0936W0164	中 国 房 地 产 市 场 首 次 出 现 了 非 政 策 因 素 导 致 市 场 下 行	中国房地产市场首次出现了非政策因素导致市场下行
IC0936W0165	尽 管 个 别 地 区 的 楼 盘 仍 有 上 涨 动 能	尽管个别地区的楼盘仍有上涨动能
IC0936W0166	但 行 业 整 体 高 速 增 长 的 时 期 已 经 告 一 段 落	但行业整体高速增长的时期已经告一段落
IC0936W0167	全 国 房 地 产 开 发 投 资 完 成 额 为 九 万 亿 元	全国房地产开发投资完成额为九万亿元
IC0936W0168	同 比 增 长 百 分 之 五	同比增长百分之五
IC0936W0169	同 比 增 速 创 最 低 水 平	同比增速创最低水平
IC0936W0170	开 发 商 的 房 子 不 见 得 都 那 么 容 易 卖 得 出 去 了	开发商的房子不见得都那么容易卖得出去了
IC0936W0171	房 地 产 不 能 再 说 普 遍 好 还 是 坏	房地产不能再说普遍好还是坏
IC0936W0172	短 期 房 价 有 上 涨 趋 向 但 不 会 暴 涨	短期房价有上涨趋向但不会暴涨
IC0936W0173	一 线 城 市 房 价 连 续 三 个 月 出 现 环 比 全 线 上 涨	一线城市房价连续三个月出现环比全线上涨
IC0936W0174	经 过 二 的 沉 寂 后	经过二的沉寂后
IC0936W0175	随 着 一 系 列 楼 市 利 好 政 策 的 实 施	随着一系列楼市利好政策的实施
IC0936W0176	需 求 旺 盛 的 一 线 城 市 楼 市 再 度 迎 来 飞 涨	需求旺盛的一线城市楼市再度迎来飞涨
IC0936W0177	成 为 全 国 楼 市 领 头 羊	成为全国楼市领头羊
IC0936W0178	房 地 产 市 场 难 以 再 现 二 疯 涨 的 场 景	房地产市场难以再现二疯涨的场景
IC0936W0179	房 价 将 进 入 常 新 常 态 化 时 期	房价将进入长新常态化时期
IC0936W0180	房 地 产 从 研 究 政 策 转 向 研 究 产 品 和 市 场	房地产从研究政策转向研究产品和市场
IC0936W0181	大 家 都 在 研 究 房 地 产 调 控 会 不 会 出	大家都在研究房地产调控会不会出
IC0936W0182	但 随 着 国 家 政 策 的 稳 定 后	但随着国家政策的稳定后
IC0936W0183	行 政 干 预 转 向 市 场 自 行 调 节	行政干预转向市场自行调节
IC0936W0184	开 发 商 购 房 者 也 开 始 转 向	开发商购房者也开始转向
IC0936W0185	不 再 单 纯 仅 仅 研 究 政 策	不再单纯仅仅研究政策
IC0936W0186	企 业 拿 地 就 能 赚 钱 的 时 代 已 经 过 去	企业拿地就能赚钱的时代已经过去
IC0936W0187	既 要 坚 定 不 移 地 扩 大 消 费 需 求	既要坚定不移地扩大消费需求
IC0936W0188	也 要 保 持 适 度 的 投 资 规 模	也要保持适度的投资规模
IC0936W0189	提 高 投 资 质 量 和 效 益	提高投资质量和效益
IC0936W0190	严 格 规 范 地 方 政 府 融 资 平 台	严格规范地方政府融资平台
IC0936W0191	继 续 妥 善 清 理 地 方 政 府 性 存 量 债 务	继续妥善清理地方政府性存量债务
IC0936W0192	努 力 实 现 农 业 再 获 丰 收	努力实现农业再获丰收
IC0936W0193	保 持 物 价 总 水 平 基 本 稳 定	保持物价总水平基本稳定
IC0936W0194	努 力 保 持 对 外 贸 易 稳 定 增 长	努力保持对外贸易稳定增长
IC0936W0195	加 快 推 进 产 业 转 型 升 级	加快推进产业转型升级
IC0936W0196	巩 固 房 地 产 市 场 调 控 成 果	巩固房地产市场调控成果
IC0936W0197	坚 持 房 地 产 调 控 政 策 不 动 摇	坚持房地产调控政策不动摇
IC0936W0198	绝 不 让 调 控 出 现 反 复	决不让调控出现反复
IC0936W0199	采 取 有 效 措 施 增 加 普 通 商 品 房 供 给	采取有效措施增加普通商品房供给
IC0936W0200	落 实 社 会 救 助 和 保 障 标 准 与 物 价 挂 钩 的 联 动 机 制	落实社会救助和保障标准与物价挂钩的联动机制
IC0936W0201	保 障 困 难 群 体 基 本 生 活	保障困难群体基本生活
IC0936W0202	一 季 度 经 济 形 势 昨 昨 日	一季度经济形势做昨日
IC0936W0203	一 季 度 全 国 国 内 生 产 总 值 gdp	一季度全国国内生产总值JDP
IC0936W0204	全 国 国 内 生 产 总 值 gdp	全国国内生产总值JDP
IC0936W0205	解 读 一 季 度 gdp 的 增 长 速 度	解读一季度JDP的增长速度
IC0936W0206	多 家 机 构 均 预 测 增 长 速 在 百 分 之 八 点 三	多家机构均预测增涨速在百分之八点三
IC0936W0207	这 也 创 下 二 季 度 以 来 新 低	这也创下二季度以来新低
IC0936W0208	gdp 同 比 增 长 速 度 连 续 下 降	JDP同比增长速度连续下降
IC0936W0209	国 家 统 计 局 新 闻 发 言 人 盛 来 运 表 示	国家统计局新闻发言人盛来运表示
IC0936W0210	今 年 定 的 目 标 是 增 速	今年定的目标是增速
IC0936W0211	国 民 经 济 运 行 缓 中 趋 稳	国民经济运行缓中趋稳
IC0936W0212	继 续 保 持 了 适 度 较 快 增 长	继续保持了适度较快增长
IC0936W0213	城 镇 居 民 人 均 可 支 配 收 入	城镇居民人均可支配收入
IC0936W0214	同 比 名 义 增 长	同比名义增长
IC0936W0215	扣 除 价 格 因 素 实 际 增 长	扣除价格因素实际增长
IC0936W0216	解 读 盛 来 顺 表 示	解读盛来顺表示
IC0936W0217	居 民 收 入 增 速 比 去 年 要 快	居民收入增速比去年要快
IC0936W0218	虽 然 经 济 增 长 迅 速 出 现 了 回 落	虽然经济增长迅速出现了回落
IC0936W0219	但 还 是 处 在 适 度 较 快 增 长 的 区 间	但还是处在适度较快增长的区间
IC0936W0220	就 城 镇 居 民 收 入 来 讲	就城镇居民收入来讲
IC0936W0221	这 对 今 年 一 季 度 还 有 滞 后 的 影 响	这对今年一季度还有滞后的影响
IC0936W0222	也 利 于 居 民 收 入 的 增 加	也利于居民收入的增加
IC0936W0223	尽 管 一 季 度 居 民 收 入 增 速 较 快	尽管一季度居民收入增速较快
IC0936W0224	但 是 从 今 后 一 个 时 期 来 看	但是从今后一个时期来看
IC0936W0225	城 乡 居 民 收 入 继 续 保 持 较 快 增 长 的 难 度 加 大	城乡居民收入继续保持较快增长的难度加大
IC0936W0226	房 地 产 投 资 商 品 房 销 售 面 积 同 比 下 降 一 季 度	房地产投资商品房销售面积同比下降一季度
IC0936W0227	全 国 房 地 产 开 发 投 资	全国房地产开发投资
IC0936W0228	同 比 名 义 增 长 速 度	同比名义增长速度
IC0936W0229	房 屋 新 开 工 面 积 同 比 增 长	房屋新开工面积同比增长
IC0936W0230	全 国 商 品 房 销 售 面 积 同 比 下 降	全国商品房销售面积同比下降
IC0936W0231	由 于 全 国 房 地 产 市 场 销 售 面 积 增 加	由于全国房地产市场销售面积增加
IC0936W0232	促 使 各 项 销 售 指 标 降 幅 均 有 所 回 落	促使各项销售指标降幅均有所回落
IC0936W0233	市 场 从 低 迷 回 归 难 改 低 成 交 易 状 态	市场从低迷回归难改低成交状态
IC0936W0234	房 地 产 企 业 自 筹 资 金 增 速 回 落	房地产企业自筹资金增速回落
IC0936W0235	房 企 融 资 难 度 进 一 步 加 大	房企融资难度进一步加大
IC0936W0236	著 名 经 济 学 者 马 光 远 微 博 在 微 博 提 醒 说	著名经济学者马光远微博在微博提醒说
IC0936W0237	有 购 房 需 求 的 人 可 以 开 始 看 房	有购房需求的人可以开始看房
IC0936W0238	马 光 远 昨 日 对 记 者 表 示	马光远昨日对记者表示
IC0936W0239	这 主 要 是 对 房 地 产 调 控 政 策 的 不 放 心 所 致	这主要是对房地产调控政策的不放心所致
IC0936W0240	从 现 在 的 实 际 情 况 看	从现代的实际情况看
IC0936W0241	很 多 地 方 的 调 控 政 策 在 悄 悄 放 松	很多地方的调控政策在悄悄放松
IC0936W0242	一 季 度 gdp 增 速 很 快	一季度GDP增速很快
IC0936W0243	gpi 上 涨 百 分 之 三 点 八	JPI上涨百分之三点八
IC0936W0244	gpi 的 抬 头 和 gpd 的 回 落 超 过 预 期	JPI的抬头和JDP的回落超过预期
IC0936W0245	有 些 经 济 学 家 担 忧 中 国 经 济 可 能 会 进 入 滞 胀 时 代	有些经济学家担忧中国经济可能会进入滞胀时代
IC0936W0246	现 在 既 不 存 在 滞 也 不 存 在 账	现在既不存在滞也不存在涨
IC0936W0247	经 济 保 持 适 度 较 快 增 长 的 可 能 性 是 比 较 大 的	经济保持适度较快增长的可能性是比较大的
IC0936W0248	三 月 份 gpi 确 实 出 现 了 回 升	三月份JPI确实出现了回升
IC0936W0249	保 持 物 价 总 水 平 基 本 稳 定 还 具 有 较 多 的 有 利 条 件	保持物价总水平基本稳定还具有较多的有利条件
IC0936W0250	有 利 于 维 持 物 价 总 水 平 的 基 本 稳 定	有利于维持物价总水平的基本稳定
IC0936W0251	现 在 还 是 在 继 续 实 施 稳 健 的 货 币 政 策	现在还是在继续实施稳健的货币政策
IC0936W0252	通 胀 外 在 的 货 币 条 件 得 到 一 定 控 制	通胀外在的货币条件得到一定控制
IC0936W0253	不 像 智 能 手 机 面 板 那 样 有 很 多 公 司 生 产	不像智能手机面板那样有很多公司生产
IC0936W0254	而 夏 普 有 高 端 面 板 的 生 产 能 力	而夏普有高端面板的生产能力
IC0936W0255	在 二 零 一 五 百 二 十 一 期 才 年 薪 的 中 期 计 划 中	在二零一五百二十一七财年新的中期计划中
IC0936W0256	净 利 润 重 新 变 为 盈 利 状 态	净利润重新变为盈利状态
IC0936W0257	伴 随 新 的 三 年 计 划 出 台	伴随新的三年计划出台
IC0936W0258	夏 普 中 国 区 也 进 行 了 高 层 人 士 调 整	夏普中国区也进行了高层人事调整
IC0936W0259	今 市 民 言 将 接 替 新 源 声 音	今矢明彦将接替新原伸一
IC0936W0260	出 任 夏 普 中 国 投 资 有 限 公 司 董 事 长 总 经 理	出任夏普中国投资有限公司董事长总经理
IC0936W0261	新 源 深 医 将 退 休 卸 任 现 职 务	新原伸一将退休卸任现职务
IC0936W0262	九 井 宫 将 接 替 梁 母 康 裕	酒井功将接替椋木康裕
IC0936W0263	出 任 夏 普 商 贸 中 国 有 限 公 司 总 裁	出任夏普商贸中国有限公司总裁
IC0936W0264	负 责 中 国 市 场 的 销 售	负责中国市场的销售
IC0936W0265	二 十 一 百 二 十 一 二 财 年	二十一百二十一二财年
IC0936W0266	夏 普 曾 连 续 两 年 巨 额 亏 损	夏普曾连续两年巨额亏损
IC0936W0267	于 二 零 一 三 财 年 扭 亏 为 盈	于二零一三财年扭亏为盈
IC0936W0268	在 去 年 日 元 贬 值 百 分 之 三 十 的 情 况 下	在去年日元贬值百分之三十的情况下
IC0936W0269	夏 普 却 没 能 延 续 盈 利 的 势 头	夏普却没能延续盈利的势头
IC0936W0270	虽 然 夏 普 技 术 能 力 强	虽然夏普技术能力强
IC0936W0271	全 智 咨 询 副 总 经 理 李 亚 琴 说	群智咨询副总经理李亚琴说
IC0936W0272	同 比 增 幅 达 十 百 分 之 三 十 六	同比增幅达十百分之三十六
IC0936W0273	小 米 去 年 大 量 采 购 夏 普 的 手 机 屏	小米去年大量采购夏普的手机屏
IC0936W0274	五 英 寸 l 智 能 手 机 面 板 的 价 格	五英寸L智能手机面板的价格
IC0936W0275	从 二 零 一 四 年 一 月 的 三 十 美 元 跌 至 十 二 月 份 的 二 十 一 美 元	从二零一四年一月的三十美元跌至十二月份的二一美元
IC0936W0276	一 年 内 跌 幅 达 百 分 之 三 十	一年内跌幅达百分之三十
IC0936W0277	加 上 苹 果 六 手 机 的 带 动	加上苹果六手机的带动
IC0936W0278	夏 普 今 年 将 缩 减 中 小 液 晶 的 出 货 比 例	夏普今年将缩减中小液晶的出货比例
IC0936W0279	其 八 代 线 今 年 百 分 之 七 十 产 能 做 电 视 屏	其八代线今年百分之七十产能做电视屏
IC0936W0280	夏 普 另 一 主 要 的 收 入 来 源 是 液 晶 电 视	夏普另一主要的收入来源是液晶电视
IC0936W0281	夏 普 在 每 周 收 入 同 比 下 降 三 成	夏普在美洲收入同比下降三成
IC0936W0282	美 国 是 全 世 界 彩 电 最 难 赚 钱 的 地 方	美国是全世界彩电最难赚钱的地方
IC0936W0283	因 为 集 中 了 所 有 全 球 品 牌	因为集中了所有全球品牌
IC0936W0284	而 日 本 品 牌 供 应 链 的 成 本 偏 高	而日本品牌供应链的成本偏高
IC0936W0285	收 缩 欧 美 市 场 重 点 转 向 亚 洲 等 新 兴 市 场	收缩欧美市场重点转向亚洲等新兴市场
IC0936W0286	是 日 本 厂 家 的 普 通 战 略	是日本厂家的普通战略
IC0936W0287	因 为 日 本 企 业 在 东 南 亚 等 地	因为日本企业在东南亚等地
IC0936W0288	还 有 渠 道 掌 控 力 品 牌 影 响 力	还有渠道掌控力品牌影响力
IC0936W0289	日 本 企 业 中 国 研 究 院 院 长 陈 岩 认 为	日本企业中国研究院院长陈言认为
IC0936W0290	从 全 球 彩 电 和 显 示 面 板 行 业 看	从全球彩电和显示面板行业看
IC0936W0291	面 对 中 国 韩 国 等 的 竞 争	面对中国韩国等的竞争
IC0936W0292	日 本 劳 动 力 成 本 较 高	日本劳动力成本较高
IC0936W0293	夏 普 只 有 及 时 调 整 业 务 结 构	夏普只有及时调整业务结构
IC0936W0294	夏 普 净 亏 损 二 千 二 百 二 十 三 亿 元	夏普净亏损二千二百二十三亿元
IC0936W0295	为 尽 快 摆 脱 经 营 困 境	为尽快摆脱经营困境
IC0936W0296	夏 普 拟 在 全 球 裁 员 百 分 之 十	夏普拟在全球裁员百分之十
IC0936W0297	t 报 道 二 月 七 日 消 息	T报道二月七日消息
IC0936W0298	将 在 重 组 中 裁 员 七 八 百 人	将在重组中裁员七八百人
IC0936W0299	此 次 裁 员 占 西 门 子 全 球 员 工 总 数 的 约 百 分 之 二	此次裁员占西门子全球员工总数的约百分之二
IC0936W0300	此 次 西 门 子 裁 员 的 主 要 目 的 是 恢 复 公 司 盈 利 能 力	此次西门子裁员的主要目的是恢复公司盈利能力
IC0936W0301	已 告 知 员 工 代 表 与 公 司 最 新 重 组 有 关 的 人 员 调 整 计 划	已告知员工代表与公司最新重组有关的人员调整计划
IC0936W0302	为 了 优 化 公 司 的 行 政 部 门 以 及 重 叠 的 职 能	为了优化公司的行政部门以及重叠的职能
IC0936W0303	继 续 投 资 具 有 高 增 长 潜 力 的 行 业	继续投资具有高增长潜力的行业
IC0936W0304	例 如 消 费 与 服 务 相 关 行 业	例如消费与服务相关行业
IC0936W0305	并 补 充 财 务 投 资 的 资 本	并补充财务投资的资本
IC0936W0306	等 联 想 控 股 整 体 上 市 后	等联想控股整体上市后
IC0936W0307	不 排 除 有 些 子 公 司 根 据 发 展 情 况	不排除有些子公司根据发展情况
IC0936W0308	在 合 适 的 时 候 在 合 适 的 市 场 独 立 上 市 的 可 能 性	在合适的时候在合适的市场独立上市的可能性
IC0936W0309	单 独 上 市 能 够 进 一 步 放 大 企 业 价 值	单独上市能够进一步放大企业价值
IC0936W0310	在 香 港 举 行 了 短 暂 的 投 资 者 媒 体 见 面 会 之 后	在香港举行了短暂的投资者媒体见面会之后
IC0936W0311	联 想 控 股 启 动 赴 港 上 市 柳 传 志 持 股 三 点 百 分 之 四 搜 狐 科 技	联想控股启动赴港上市柳传志持股三点百分之四搜狐科技
IC0936W0312	新 京 报 讯 记 者 李 雷 筹 划 多 年	新京报讯记者李蕾筹划多年
IC0936W0313	联 想 控 股 终 于 正 式 启 动 整 体 赴 港 上 市 计 划	联想控股终于正式启动整体赴港上市计划
IC0936W0314	香 港 联 交 所 披 露 了 联 想 控 股 ipo 申 请 及 招 股 材 料	香港联交所披露了联想控股IPO申请及招股材料
IC0936W0315	但 并 未 透 露 募 资 金 额	但并未透露募资金额
